timestamp;TIME;latitude;longitude;locked
20250715_153414.607080;20250715;0;0;searching
20250715_153414.936531;20250715;0;0;searching
20250715_153415.265541;20250715;0;0;searching
20250715_153415.599017;20250715;0;0;searching
20250715_153415.942287;20250715;0;0;searching
20250715_153416.279883;20250715;45.87083833;8.979045;locked
20250715_153416.640732;20250715;0;0;searching
20250715_153416.976073;20250715;0;0;searching
20250715_153417.309223;20250715;0;0;searching
20250715_153417.642217;20250715;0;0;searching
20250715_153417.972198;20250715;0;0;searching
20250715_153418.301338;20250715;45.87083833;8.979026667;locked
20250715_153418.630039;20250715;0;0;searching
20250715_153418.964689;20250715;0;0;searching
20250715_153419.289166;20250715;0;0;searching
20250715_153419.620408;20250715;0;0;searching
20250715_153419.945208;20250715;0;0;searching
20250715_153420.278571;20250715;45.87083833;8.979025;locked
20250715_153420.616565;20250715;0;0;searching
20250715_153420.947135;20250715;0;0;searching
20250715_153421.279112;20250715;0;0;searching
20250715_153421.622065;20250715;0;0;searching
20250715_153421.954433;20250715;0;0;searching
20250715_153422.286236;20250715;45.87084167;8.979023333;locked
20250715_153422.618150;20250715;0;0;searching
20250715_153422.946133;20250715;0;0;searching
20250715_153423.276326;20250715;0;0;searching
20250715_153423.604849;20250715;0;0;searching
20250715_153423.927498;20250715;0;0;searching
20250715_153424.252851;20250715;45.87084167;8.979015;locked
20250715_153424.571135;20250715;0;0;searching
20250715_153424.890727;20250715;0;0;searching
20250715_153425.223335;20250715;0;0;searching
20250715_153425.545692;20250715;0;0;searching
20250715_153425.866967;20250715;0;0;searching
20250715_153426.188408;20250715;45.870835;8.979011667;locked
20250715_153426.520997;20250715;0;0;searching
20250715_153426.857578;20250715;0;0;searching
20250715_153427.188078;20250715;0;0;searching
20250715_153427.518940;20250715;0;0;searching
20250715_153427.853293;20250715;0;0;searching
20250715_153428.184693;20250715;45.87082833;8.979001667;locked
20250715_153428.517967;20250715;0;0;searching
20250715_153428.893273;20250715;0;0;searching
20250715_153429.248105;20250715;0;0;searching
20250715_153429.580437;20250715;0;0;searching
20250715_153429.918341;20250715;0;0;searching
20250715_153430.242380;20250715;45.87081667;8.978996667;locked
20250715_153430.568443;20250715;0;0;searching
20250715_153430.893125;20250715;0;0;searching
20250715_153431.214572;20250715;0;0;searching
20250715_153431.559270;20250715;0;0;searching
20250715_153431.893361;20250715;0;0;searching
20250715_153432.219098;20250715;45.87080667;8.978983333;locked
20250715_153432.556525;20250715;0;0;searching
20250715_153432.886268;20250715;0;0;searching
20250715_153433.231106;20250715;0;0;searching
20250715_153433.566116;20250715;0;0;searching
20250715_153433.899129;20250715;0;0;searching
20250715_153434.233190;20250715;45.87079833;8.978975;locked
20250715_153434.568006;20250715;0;0;searching
20250715_153434.903066;20250715;0;0;searching
20250715_153435.257167;20250715;0;0;searching
20250715_153435.601990;20250715;0;0;searching
20250715_153435.941337;20250715;0;0;searching
20250715_153436.297280;20250715;45.87078833;8.978965;locked
20250715_153436.647107;20250715;0;0;searching
20250715_153436.988471;20250715;0;0;searching
20250715_153437.328006;20250715;0;0;searching
20250715_153437.670152;20250715;0;0;searching
20250715_153438.011039;20250715;0;0;searching
20250715_153438.344441;20250715;45.870775;8.978956667;locked
20250715_153438.677006;20250715;0;0;searching
20250715_153439.020734;20250715;0;0;searching
20250715_153439.353782;20250715;0;0;searching
20250715_153439.701477;20250715;0;0;searching
20250715_153440.030246;20250715;0;0;searching
20250715_153440.369509;20250715;45.87076333;8.978943333;locked
20250715_153440.695222;20250715;0;0;searching
20250715_153441.024531;20250715;0;0;searching
20250715_153441.360583;20250715;0;0;searching
20250715_153441.716310;20250715;0;0;searching
20250715_153442.047611;20250715;0;0;searching
20250715_153442.380897;20250715;45.87075167;8.978933333;locked
20250715_153442.713589;20250715;0;0;searching
20250715_153443.049827;20250715;0;0;searching
20250715_153443.383970;20250715;0;0;searching
20250715_153443.722599;20250715;0;0;searching
20250715_153444.054462;20250715;0;0;searching
20250715_153444.404016;20250715;45.87074;8.978925;locked
20250715_153444.732077;20250715;0;0;searching
20250715_153445.062505;20250715;0;0;searching
20250715_153445.387892;20250715;0;0;searching
20250715_153445.715492;20250715;0;0;searching
20250715_153446.041874;20250715;0;0;searching
20250715_153446.367857;20250715;45.87073167;8.978918333;locked
20250715_153446.712475;20250715;0;0;searching
20250715_153447.047052;20250715;0;0;searching
20250715_153447.380120;20250715;0;0;searching
20250715_153447.713144;20250715;0;0;searching
20250715_153448.042693;20250715;0;0;searching
20250715_153448.377694;20250715;45.87072;8.978906667;locked
20250715_153448.711231;20250715;0;0;searching
20250715_153449.039722;20250715;0;0;searching
20250715_153449.377911;20250715;0;0;searching
20250715_153449.708738;20250715;0;0;searching
20250715_153450.042499;20250715;0;0;searching
20250715_153450.373169;20250715;45.87071;8.978898333;locked
20250715_153450.706877;20250715;0;0;searching
20250715_153451.035336;20250715;0;0;searching
20250715_153451.363538;20250715;0;0;searching
20250715_153451.717362;20250715;0;0;searching
20250715_153452.057243;20250715;0;0;searching
20250715_153452.389782;20250715;45.87069833;8.97889;locked
20250715_153452.722645;20250715;0;0;searching
20250715_153453.052228;20250715;0;0;searching
20250715_153453.394043;20250715;0;0;searching
20250715_153453.723692;20250715;0;0;searching
20250715_153454.056673;20250715;0;0;searching
20250715_153454.385487;20250715;45.87069;8.978876667;locked
20250715_153454.714487;20250715;0;0;searching
20250715_153455.047980;20250715;0;0;searching
20250715_153455.375196;20250715;0;0;searching
20250715_153455.727912;20250715;0;0;searching
20250715_153456.070816;20250715;0;0;searching
20250715_153456.410688;20250715;45.87068333;8.978865;locked
20250715_153456.777741;20250715;0;0;searching
20250715_153457.110384;20250715;0;0;searching
20250715_153457.463118;20250715;0;0;searching
20250715_153457.850587;20250715;0;0;searching
20250715_153458.190479;20250715;0;0;searching
20250715_153458.527718;20250715;45.87067167;8.978856667;locked
20250715_153458.858241;20250715;0;0;searching
20250715_153459.195258;20250715;0;0;searching
20250715_153459.533564;20250715;0;0;searching
20250715_153459.867678;20250715;0;0;searching
20250715_153500.213931;20250715;0;0;searching
20250715_153500.554944;20250715;45.87066833;8.978848333;locked
20250715_153500.891465;20250715;0;0;searching
20250715_153501.242645;20250715;0;0;searching
20250715_153501.632928;20250715;0;0;searching
20250715_153501.969827;20250715;0;0;searching
20250715_153502.306878;20250715;0;0;searching
20250715_153502.636505;20250715;45.87066333;8.978836667;locked
20250715_153502.964951;20250715;0;0;searching
20250715_153503.294217;20250715;0;0;searching
20250715_153503.634116;20250715;0;0;searching
20250715_153503.963938;20250715;0;0;searching
20250715_153504.299285;20250715;0;0;searching
20250715_153504.629542;20250715;45.87065333;8.978821667;locked
20250715_153504.956839;20250715;0;0;searching
20250715_153505.290113;20250715;0;0;searching
20250715_153505.618648;20250715;0;0;searching
20250715_153505.928033;20250715;0;0;searching
20250715_153506.241155;20250715;0;0;searching
20250715_153506.578348;20250715;45.87064333;8.978811667;locked
20250715_153506.891096;20250715;0;0;searching
20250715_153507.205006;20250715;0;0;searching
20250715_153507.515292;20250715;0;0;searching
20250715_153507.826649;20250715;0;0;searching
20250715_153508.135669;20250715;0;0;searching
20250715_153508.450928;20250715;45.87065;8.97879;locked
20250715_153508.770798;20250715;0;0;searching
20250715_153509.081822;20250715;0;0;searching
20250715_153509.397477;20250715;0;0;searching
20250715_153509.710767;20250715;0;0;searching
20250715_153510.030374;20250715;0;0;searching
20250715_153510.346478;20250715;45.87065167;8.978773333;locked
20250715_153510.656566;20250715;0;0;searching
20250715_153511.070309;20250715;0;0;searching
20250715_153511.382077;20250715;0;0;searching
