timestamp,latitude,longitude,locked
20250715_153208.673158,0.0,0.0,searching
20250715_153209.012056,0.0,0.0,searching
20250715_153209.342312,0.0,0.0,searching
20250715_153209.679583,0.0,0.0,searching
20250715_153210.055030,0.0,0.0,searching
20250715_153210.443207,0.0,0.0,searching
20250715_153210.775861,0.0,0.0,searching
20250715_153211.106962,0.0,0.0,searching
20250715_153211.433418,0.0,0.0,searching
20250715_153211.781875,0.0,0.0,searching
20250715_153212.117234,0.0,0.0,searching
20250715_153212.465985,0.0,0.0,searching
20250715_153212.792821,0.0,0.0,searching
20250715_153213.125045,0.0,0.0,searching
20250715_153213.456344,0.0,0.0,searching
20250715_153213.782520,0.0,0.0,searching
20250715_153214.116802,0.0,0.0,searching
20250715_153214.453090,0.0,0.0,searching
20250715_153214.785503,0.0,0.0,searching
20250715_153215.111474,0.0,0.0,searching
20250715_153215.441788,0.0,0.0,searching
20250715_153215.770322,0.0,0.0,searching
20250715_153216.113320,0.0,0.0,searching
20250715_153216.451627,0.0,0.0,searching
20250715_153216.802616,0.0,0.0,searching
20250715_153217.138429,0.0,0.0,searching
20250715_153217.467649,0.0,0.0,searching
20250715_153217.803404,0.0,0.0,searching
20250715_153218.135336,0.0,0.0,searching
20250715_153218.470412,0.0,0.0,searching
20250715_153218.806395,0.0,0.0,searching
20250715_153219.142244,0.0,0.0,searching
20250715_153219.475341,0.0,0.0,searching
20250715_153219.808752,0.0,0.0,searching
20250715_153220.147961,0.0,0.0,searching
20250715_153220.484696,0.0,0.0,searching
20250715_153220.808014,0.0,0.0,searching
20250715_153221.147306,0.0,0.0,searching
20250715_153221.482422,0.0,0.0,searching
20250715_153221.829641,0.0,0.0,searching
20250715_153222.178743,0.0,0.0,searching
20250715_153222.522351,0.0,0.0,searching
20250715_153222.872327,0.0,0.0,searching
20250715_153223.222989,0.0,0.0,searching
20250715_153223.562639,0.0,0.0,searching
20250715_153223.893481,0.0,0.0,searching
20250715_153224.237528,0.0,0.0,searching
20250715_153224.584748,0.0,0.0,searching
20250715_153224.917123,0.0,0.0,searching
20250715_153225.256058,0.0,0.0,searching
20250715_153225.595666,0.0,0.0,searching
20250715_153225.939326,0.0,0.0,searching
20250715_153226.276756,0.0,0.0,searching
20250715_153226.632612,0.0,0.0,searching
20250715_153226.965405,0.0,0.0,searching
20250715_153227.297143,0.0,0.0,searching
20250715_153227.629006,0.0,0.0,searching
20250715_153227.959901,0.0,0.0,searching
20250715_153228.299486,0.0,0.0,searching
20250715_153228.629127,0.0,0.0,searching
20250715_153228.965626,0.0,0.0,searching
20250715_153229.300817,0.0,0.0,searching
20250715_153229.642080,0.0,0.0,searching
20250715_153229.976502,0.0,0.0,searching
20250715_153230.304982,0.0,0.0,searching
20250715_153230.636472,0.0,0.0,searching
20250715_153230.972802,0.0,0.0,searching
20250715_153231.302777,0.0,0.0,searching
20250715_153231.648106,0.0,0.0,searching
20250715_153231.980196,0.0,0.0,searching
20250715_153232.325257,0.0,0.0,searching
20250715_153232.667156,0.0,0.0,searching
20250715_153233.006724,0.0,0.0,searching
20250715_153233.345526,0.0,0.0,searching
20250715_153233.678497,0.0,0.0,searching
20250715_153234.011931,0.0,0.0,searching
20250715_153234.352481,0.0,0.0,searching
20250715_153234.684985,0.0,0.0,searching
20250715_153235.016001,0.0,0.0,searching
20250715_153235.367327,0.0,0.0,searching
20250715_153235.717005,0.0,0.0,searching
20250715_153236.061118,0.0,0.0,searching
20250715_153236.398439,0.0,0.0,searching
20250715_153236.752268,0.0,0.0,searching
20250715_153237.094187,0.0,0.0,searching
20250715_153237.422287,0.0,0.0,searching
20250715_153237.758557,0.0,0.0,searching
20250715_153238.099672,0.0,0.0,searching
20250715_153238.441244,0.0,0.0,searching
20250715_153238.774687,0.0,0.0,searching
20250715_153239.123225,0.0,0.0,searching
20250715_153239.468400,0.0,0.0,searching
20250715_153239.864626,0.0,0.0,searching
20250715_153240.219171,0.0,0.0,searching
20250715_153240.551569,0.0,0.0,searching
20250715_153240.887037,0.0,0.0,searching
20250715_153241.222160,0.0,0.0,searching
20250715_153241.570669,0.0,0.0,searching
20250715_153241.905311,0.0,0.0,searching
20250715_153242.236408,0.0,0.0,searching
20250715_153242.568729,0.0,0.0,searching
20250715_153242.896736,0.0,0.0,searching
